date,open,close,high,low,volume,turnover,amplitude,change_pct,change_amount,turnover_rate,etf_code,etf_name
2023-01-06,3.809,3.824,3.841,3.805,5410808,2187353311.0,0.95,0.42,0.016,0.61,510300,沪深300ETF
2023-01-09,3.844,3.849,3.865,3.831,7809599,3178181433.0,0.89,0.65,0.025,0.88,510300,沪深300ETF
2023-01-10,3.847,3.855,3.871,3.841,7442622,3033001135.0,0.78,0.16,0.006,0.84,510300,沪深300ETF
2023-01-11,3.856,3.855,3.884,3.848,5715114,2334923330.0,0.93,0.0,0.0,0.64,510300,沪深300ETF
2023-01-12,3.862,3.861,3.874,3.847,3255872,1328948654.0,0.7,0.16,0.006,0.37,510300,沪深300ETF
2023-01-13,3.868,3.923,3.927,3.868,6559090,2702284069.0,1.53,1.61,0.062,0.74,510300,沪深300ETF
2023-01-16,3.928,3.986,4.027,3.926,17163759,7109168359.0,2.57,1.61,0.063,1.93,510300,沪深300ETF
2023-01-17,3.986,3.982,3.995,3.965,6015131,2488168863.0,0.75,-0.1,-0.004,0.68,510300,沪深300ETF
2023-01-18,3.989,3.973,3.995,3.969,4456901,1843406132.0,0.65,-0.23,-0.009,0.5,510300,沪深300ETF
2023-01-19,3.964,4.001,4.003,3.946,6074324,2513066753.0,1.43,0.7,0.028,0.68,510300,沪深300ETF
2023-01-20,4.016,4.024,4.037,4.008,5700822,2382114372.0,0.72,0.57,0.023,0.64,510300,沪深300ETF
2023-01-30,4.103,4.048,4.11,4.041,8013471,3386449597.0,1.71,0.6,0.024,0.9,510300,沪深300ETF
2023-01-31,4.051,4.002,4.06,3.995,11392222,4761842944.0,1.61,-1.14,-0.046,1.28,510300,沪深300ETF
2023-02-01,4.007,4.033,4.035,3.976,7156520,2981748341.0,1.47,0.77,0.031,0.81,510300,沪深300ETF
2023-02-02,4.045,4.023,4.048,4.006,10018528,4188623374.0,1.04,-0.25,-0.01,1.13,510300,沪深300ETF
2023-02-03,3.997,3.98,4.0,3.944,9600521,3961301299.0,1.39,-1.07,-0.043,1.08,510300,沪深300ETF
2023-02-06,3.946,3.923,3.947,3.901,7314597,2982940562.0,1.16,-1.43,-0.057,0.82,510300,沪深300ETF
2023-02-07,3.929,3.933,3.944,3.913,5539881,2263547380.0,0.79,0.25,0.01,0.62,510300,沪深300ETF
2023-02-08,3.935,3.916,3.952,3.908,4628713,1889787994.0,1.12,-0.43,-0.017,0.52,510300,沪深300ETF
2023-02-09,3.91,3.97,3.974,3.906,5958886,2450554135.0,1.74,1.38,0.054,0.67,510300,沪深300ETF
2023-02-10,3.971,3.946,3.971,3.929,5205224,2135893097.0,1.06,-0.6,-0.024,0.59,510300,沪深300ETF
2023-02-13,3.933,3.978,3.984,3.926,8280101,3415190764.0,1.47,0.81,0.032,0.93,510300,沪深300ETF
2023-02-14,3.984,3.987,3.99,3.962,3326324,1374345788.0,0.7,0.23,0.009,0.37,510300,沪深300ETF
2023-02-15,3.984,3.959,3.997,3.951,6455068,2658512888.0,1.15,-0.7,-0.028,0.73,510300,沪深300ETF
2023-02-16,3.963,3.93,4.011,3.905,7925101,3275079466.0,2.68,-0.73,-0.029,0.89,510300,沪深300ETF
2023-02-17,3.928,3.872,3.944,3.868,7433949,3025278809.0,1.93,-1.48,-0.058,0.84,510300,沪深300ETF
2023-02-20,3.877,3.977,3.98,3.871,10495255,4282521265.0,2.82,2.71,0.105,1.18,510300,沪深300ETF
2023-02-21,3.977,3.982,3.993,3.957,5609025,2318009475.0,0.91,0.13,0.005,0.63,510300,沪深300ETF
2023-02-22,3.966,3.942,3.977,3.935,4529454,1861371777.0,1.05,-1.0,-0.04,0.51,510300,沪深300ETF
2023-02-23,3.946,3.942,3.968,3.924,4655595,1908740957.0,1.12,0.0,0.0,0.52,510300,沪深300ETF
2023-02-24,3.941,3.903,3.941,3.883,8087762,3282777177.0,1.47,-0.99,-0.039,0.91,510300,沪深300ETF
2023-02-27,3.883,3.888,3.906,3.871,4569575,1848791379.0,0.9,-0.38,-0.015,0.51,510300,沪深300ETF
2023-02-28,3.9,3.914,3.919,3.863,4845454,1963458643.0,1.44,0.67,0.026,0.55,510300,沪深300ETF
2023-03-01,3.91,3.963,3.979,3.903,11804810,4856375177.0,1.94,1.25,0.049,1.33,510300,沪深300ETF
2023-03-02,3.953,3.958,3.977,3.95,4391329,1808866225.0,0.68,-0.13,-0.005,0.49,510300,沪深300ETF
2023-03-03,3.969,3.967,3.979,3.937,4201757,1730990673.0,1.06,0.23,0.009,0.47,510300,沪深300ETF
2023-03-06,3.968,3.942,3.97,3.923,9293025,3808515076.0,1.18,-0.63,-0.025,1.05,510300,沪深300ETF
2023-03-07,3.938,3.885,3.961,3.882,6746494,2756431261.0,2.0,-1.45,-0.057,0.76,510300,沪深300ETF
2023-03-08,3.873,3.869,3.878,3.853,4313154,1735039806.0,0.64,-0.41,-0.016,0.49,510300,沪深300ETF
2023-03-09,3.875,3.859,3.879,3.835,4079365,1639051249.0,1.14,-0.26,-0.01,0.46,510300,沪深300ETF
2023-03-10,3.833,3.804,3.847,3.802,4981129,1982846713.0,1.17,-1.43,-0.055,0.56,510300,沪深300ETF
2023-03-13,3.804,3.848,3.851,3.804,4674529,1865984620.0,1.24,1.16,0.044,0.53,510300,沪深300ETF
2023-03-14,3.843,3.823,3.843,3.788,4635416,1842611053.0,1.43,-0.65,-0.025,0.52,510300,沪深300ETF
2023-03-15,3.849,3.822,3.859,3.821,3933011,1571377024.0,0.99,-0.03,-0.001,0.44,510300,沪深300ETF
