rank,sector_name,行业指数,change_pct,inflow,outflow,main_net_inflow,stock_count,领涨股,领涨股-涨跌幅,当前价,fetch_date,fetch_time
1,小红书概念,1497.73,2.88,176.25,133.47,4278000000.0,53,挖金客,20.0,37.8,2026-01-04,00:29:05
2,快手概念,1886.99,2.49,193.78,143.99,4979000000.0,48,蓝色光标,20.0,11.52,2026-01-04,00:29:05
3,中船系,1591.86,2.3,18.19,14.53,366000000.0,20,久之洋,20.0,80.7,2026-01-04,00:29:05
4,中韩自贸区,2536.93,2.25,9.54,8.33,121000000.0,15,中创物流,10.02,13.73,2026-01-04,00:29:05
5,军工信息化,1989.1,2.22,382.6,332.6,5000000000.0,107,久之洋,20.0,80.7,2026-01-04,00:29:05
6,智谱AI,1538.61,2.2,215.52,168.08,4743000000.0,67,蓝色光标,20.0,11.52,2026-01-04,00:29:05
7,AI语料,1277.52,2.0,131.0,103.66,2733000000.0,49,福石控股,10.68,6.53,2026-01-04,00:29:05
8,国产航母,2267.58,1.99,182.68,147.31,3536999999.9999995,36,北斗星通,10.0,45.43,2026-01-04,00:29:05
9,Sora概念(文生视频),2364.52,1.97,120.35,97.39,2296000000.0,42,福石控股,10.68,6.53,2026-01-04,00:29:05
10,卫星导航,4867.92,1.95,1030.87,971.11,5976000000.0,254,久之洋,20.0,80.7,2026-01-04,00:29:05
11,多模态AI,1350.97,1.94,374.47,325.39,4908000000.0,144,立方控股,24.93,28.96,2026-01-04,00:29:05
12,移动支付,2756.11,1.85,189.43,165.42,2401000000.0,77,中科江南,20.0,24.72,2026-01-04,00:29:05
13,短剧游戏,1317.19,1.81,207.23,155.79,5144000000.0,66,蓝色光标,20.0,11.52,2026-01-04,00:29:05
14,AIGC概念,2180.59,1.77,535.34,456.06,7928000000.0,268,蓝色光标,20.0,11.52,2026-01-04,00:29:05
15,Web3.0,2030.33,1.76,193.75,150.08,4367000000.0,66,蓝色光标,20.0,11.52,2026-01-04,00:29:05
16,ChatGPT概念,1967.5,1.76,358.51,294.56,6396000000.0,140,蓝色光标,20.0,11.52,2026-01-04,00:29:05
17,财税数字化,2011.67,1.76,111.46,95.18,1628000000.0,66,中科江南,20.0,24.72,2026-01-04,00:29:05
18,ERP概念,1458.77,1.75,65.63,56.78,884000000.0,36,汉得信息,7.26,18.92,2026-01-04,00:29:05
19,商业航天,2276.38,1.74,1515.01,1459.91,5510000000.0,399,久之洋,20.0,80.7,2026-01-04,00:29:05
20,AI智能体,1455.65,1.67,704.55,596.74,10781000000.0,361,立方控股,24.93,28.96,2026-01-04,00:29:05
21,电子身份证,1607.54,1.64,60.62,53.49,714000000.0,40,中科江南,20.0,24.72,2026-01-04,00:29:05
22,太赫兹,2109.94,1.64,176.74,162.17,1456000000.0,21,航天电子,10.01,21.32,2026-01-04,00:29:05
23,华为欧拉,1690.62,1.63,128.64,127.38,126000000.0,46,航天发展,10.0,33.01,2026-01-04,00:29:05
24,租售同权,884.417,1.54,45.35,42.71,264000000.0,28,合肥城建,10.04,12.38,2026-01-04,00:29:05
25,虚拟数字人,1509.52,1.53,373.69,300.2,7348999999.999999,169,蓝色光标,20.0,11.52,2026-01-04,00:29:05
26,航空发动机,3406.34,1.53,282.58,271.32,1125000000.0,94,飞沃科技,17.91,168.37,2026-01-04,00:29:05
27,NFT概念,1899.6,1.5,162.8,125.89,3692000000.0,71,蓝色光标,20.0,11.52,2026-01-04,00:29:05
28,军民融合,1774.0,1.49,807.45,730.26,7719000000.0,242,久之洋,20.0,80.7,2026-01-04,00:29:05
29,大飞机,3975.21,1.48,486.07,454.91,3116000000.0,145,飞沃科技,17.91,168.37,2026-01-04,00:29:05
30,时空大数据,1654.83,1.44,132.55,133.05,-50000000.0,63,中科星图,11.07,59.0,2026-01-04,00:29:05
31,智慧政务,1627.97,1.41,353.31,353.92,-61000000.0,211,中科江南,20.0,24.72,2026-01-04,00:29:05
32,同花顺新质50,2502.4,1.39,488.67,540.26,-5159000000.0,50,中科星图,11.07,59.0,2026-01-04,00:29:05
33,云办公,1890.19,1.37,62.43,51.06,1137000000.0,48,致远互联,7.12,25.43,2026-01-04,00:29:05
34,跨境支付(CIPS),1873.99,1.36,205.48,174.17,3131000000.0,73,易点天下,10.23,40.5,2026-01-04,00:29:05
35,人脸识别,1428.07,1.35,180.39,158.43,2195000000.0,111,乾照光电,15.75,27.56,2026-01-04,00:29:05
36,华为盘古,1161.12,1.35,53.81,51.19,262000000.0,29,易点天下,10.23,40.5,2026-01-04,00:29:05
37,量子科技,2530.64,1.34,302.5,268.81,3369000000.0,100,久之洋,20.0,80.7,2026-01-04,00:29:05
38,在线教育,3140.75,1.32,232.56,184.35,4821000000.0,128,蓝色光标,20.0,11.52,2026-01-04,00:29:05
39,6G概念,2186.25,1.31,478.91,468.83,1008000000.0,86,信维通信,16.98,62.0,2026-01-04,00:29:05
40,数据要素,1312.29,1.27,543.52,509.55,3397000000.0,387,中科江南,20.0,24.72,2026-01-04,00:29:05
41,数据安全,1254.63,1.26,334.97,330.11,486000000.00000006,173,挖金客,20.0,37.8,2026-01-04,00:29:05
42,华为昇腾,1707.16,1.25,173.15,175.29,-213000000.0,99,星环科技,10.92,108.19,2026-01-04,00:29:05
43,MLOps概念,1101.1,1.24,28.92,28.87,6000000.0,18,星环科技,10.92,108.19,2026-01-04,00:29:05
44,百度概念,2042.87,1.22,499.76,459.53,4022999999.9999995,226,蓝色光标,20.0,11.52,2026-01-04,00:29:05
45,网约车,1778.74,1.22,27.94,30.91,-297000000.0,29,立方控股,24.93,28.96,2026-01-04,00:29:05
46,云游戏,1561.13,1.22,58.46,53.61,484999999.99999994,27,佳创视讯,8.58,6.71,2026-01-04,00:29:05
47,网络安全,5861.68,1.21,378.03,371.35,669000000.0,185,挖金客,20.0,37.8,2026-01-04,00:29:05
48,云计算,4124.89,1.18,413.42,398.06,1536000000.0,218,中科星图,11.07,59.0,2026-01-04,00:29:05
49,空间计算,1257.41,1.17,52.61,47.6,500000000.0,62,中科星图,11.07,59.0,2026-01-04,00:29:05
50,文化传媒概念,2967.67,1.15,311.9,262.87,4903000000.0,194,蓝色光标,20.0,11.52,2026-01-04,00:29:05
51,抖音概念(字节概念),1691.96,1.15,501.3,472.5,2880000000.0,201,蓝色光标,20.0,11.52,2026-01-04,00:29:05
52,数据确权,1653.92,1.12,105.72,92.63,1309000000.0,67,德生科技,10.03,10.53,2026-01-04,00:29:05
