rank,sector_name,行业指数,行业-涨跌幅,流入资金,流出资金,净额,stock_count,领涨股,领涨股-涨跌幅,当前价,sector_type,fetch_date
1,军工电子,14585.2,2.6,264.42,242.34,22.08,62,富吉瑞,14.4,32.66,industry,2026-01-04
2,机场航运,2489.85,2.54,32.95,23.07,9.89,13,吉祥航空,7.21,14.88,industry,2026-01-04
3,文化传媒,2819.49,2.18,183.64,129.94,53.7,84,蓝色光标,20.0,11.52,industry,2026-01-04
4,教育,4958.66,1.76,17.19,15.99,1.2,17,凯文教育,9.94,5.86,industry,2026-01-04
5,军工装备,2595.8,1.65,361.53,311.13,50.39,81,航天环宇,14.55,55.96,industry,2026-01-04
6,IT服务,13797.0,1.39,163.22,157.73,5.49,128,立方控股,24.93,28.96,industry,2026-01-04
7,计算机设备,4377.3,1.26,99.86,96.32,3.54,81,雷神科技,10.23,28.01,industry,2026-01-04
8,通信服务,2813.17,1.22,59.32,50.97,8.36,45,挖金客,20.0,37.8,industry,2026-01-04
9,软件开发,2285.21,1.21,197.12,179.71,17.41,139,中科江南,20.0,24.72,industry,2026-01-04
10,黑色家电,4255.11,1.08,6.41,6.9,-0.49,9,*ST高斯,5.03,8.98,industry,2026-01-04
11,纺织制造,2512.25,0.93,20.18,22.31,-2.13,32,万事利,19.99,19.69,industry,2026-01-04
12,汽车服务及其他,1247.27,0.89,6.69,7.19,-0.49,25,新日股份,8.24,14.06,industry,2026-01-04
13,房地产,1827.46,0.84,78.94,78.58,0.35,90,合肥城建,10.04,12.38,industry,2026-01-04
14,光学光电子,4941.76,0.82,129.32,111.15,18.17,108,乾照光电,15.75,27.56,industry,2026-01-04
15,互联网电商,8127.8,0.79,9.47,9.42,0.06,19,华凯易佰,4.12,10.86,industry,2026-01-04
16,小金属,7321.65,0.76,96.91,99.48,-2.57,27,宝钛股份,6.25,39.45,industry,2026-01-04
17,服装家纺,3072.77,0.75,31.13,35.61,-4.48,76,天创时尚,10.04,10.3,industry,2026-01-04
18,风电设备,5063.36,0.71,61.18,62.93,-1.75,31,飞沃科技,17.91,168.37,industry,2026-01-04
19,环保设备,1267.93,0.67,10.75,10.62,0.12,29,碧兴物联,5.27,24.77,industry,2026-01-04
20,旅游及酒店,3387.86,0.62,17.82,16.79,1.04,34,凯撒旅业,6.04,7.2,industry,2026-01-04
