序号,名称,最新涨跌幅,北向资金今日持股-股票只数,北向资金今日持股-市值,北向资金今日持股-占板块比,北向资金今日持股-占北向资金比,北向资金今日增持估计-股票只数,北向资金今日增持估计-市值,北向资金今日增持估计-市值增幅,北向资金今日增持估计-占板块比,北向资金今日增持估计-占北向资金比,今日增持最大股-市值,今日增持最大股-占总市值比,今日减持最大股-市值,今日减持最大股-占总市值比,报告时间,fetch_date,direction
1,银行,0.1,42,187873414383.39,0.015709337791,0.106653997011,32,1190196450.6614,0.64512398,9.9520191e-05,0.0006756635,农业银行,齐鲁银行,宁波银行,宁波银行,2024-08-16,2026-01-04,northbound
2,通信服务,0.55,18,10899801670.86,0.003532192316,0.00618771644,13,469553989.9601,4.60284001,0.000152163777,0.00026656145,中国联通,中国联通,中国移动,梦网科技,2024-08-16,2026-01-04,northbound
3,化学制药,-0.18,82,41686925781.39,0.030978215107,0.023665281606,47,328451539.9149,0.80225449,0.000244077544,0.000186458897,华东医药,普利制药,江苏吴中,江苏吴中,2024-08-16,2026-01-04,northbound
4,光学光电子,1.16,48,19913435722.1,0.030229255142,0.011304672995,35,249636551.2614,1.27254731,0.000378956555,0.000141716358,欧菲光,欧菲光,TCL科技,华灿光电,2024-08-16,2026-01-04,northbound
5,消费电子,-0.19,50,53971713840.49,0.038549380365,0.030639241989,34,177057361.1678,0.33268118,0.000126463495,0.000100513824,立讯精密,得润电子,传音控股,泰嘉股份,2024-08-16,2026-01-04,northbound
6,保险,-0.43,6,37320831490.68,0.01665106328,0.021186690322,5,157615931.4248,0.42740399,7.0321929e-05,8.9477104e-05,中国人寿,中国太保,天茂集团,天茂集团,2024-08-16,2026-01-04,northbound
7,通信设备,0.86,69,26761200039.34,0.02600712645,0.015192085364,30,147837082.5912,0.56956153,0.000143671349,8.3925742e-05,天孚通信,通宇通讯,航天发展,航天发展,2024-08-16,2026-01-04,northbound
8,医疗器械,-0.23,68,49552959362.6,0.045479241145,0.028130756004,48,88675347.1641,0.17966342,8.1385402e-05,5.0340173e-05,迈瑞医疗,开立医疗,鱼跃医疗,海尔生物,2024-08-16,2026-01-04,northbound
9,石油行业,-0.97,9,22909008115.94,0.005807901079,0.013005231694,4,72721112.3393,0.3210895,1.8436286e-05,4.1283102e-05,中国石化,岳阳兴长,上海石化,华锦股份,2024-08-16,2026-01-04,northbound
10,中药,-0.42,40,21961770013.45,0.02852231712,0.012467493397,22,26766882.3786,0.12174308,3.476284e-05,1.5195311e-05,佐力药业,佐力药业,以岭药业,以岭药业,2024-08-16,2026-01-04,northbound
