feature,importance
ma5_bias,5.615416929125786
return_5d,4.290745973587036
atr_14,4.023174047470093
return_10d,3.840347021818161
volatility_20d,3.8174239695072174
volatility_10d,3.725687012076378
ma10_bias,3.67501001060009
volume_ratio,3.136501967906952
price_position,2.851670026779175
volatility_5d,2.5910570472478867
ma20_bias,2.577560067176819
rsi_14,1.6222480237483978
turnover_ratio,1.4486760199069977
volatility_3d,1.3319209814071655
return_20d,0.9665850251913071
return_3d,0.6978039741516113
money_flow_ma3,0.0
money_flow_momentum,0.0
money_flow_ma5,0.0
